,First Name,Last Name,About Author
1,J.K.,Rowling,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. As she had no middle name, she chose K as the second initial of her pen name, from her paternal grandmother Kathleen Ada Bulgen Rowling. She calls herself Jo and has said, ""No one ever called me 'Joanne' when I was young, unless they were angry."" Following her marriage, she has sometimes used the name Joanne Murray when conducting personal business. During the Leveson Inquiry she gave evidence under the name of Joanne Kathleen Rowling. In a 2012 interview, Rowling noted that she no longer cared that people pronounced her name incorrectly.Rowling was born to Peter James Rowling, a Rolls-Royce aircraft engineer, and Anne Rowling (née Volant), on 31 July 1965 in Yate, Gloucestershire, England, 10 miles (16 km) northeast of Bristol. Her mother Anne was half-French and half-Scottish. Her parents first met on a train departing from King's Cross Station bound for Arbroath in 1964. They married on 14 March 1965. Her mother's maternal grandfather, Dugald Campbell, was born in Lamlash on the Isle of Arran. Her mother's paternal grandfather, Louis Volant, was awarded the Croix de Guerre for exceptional bravery in defending the village of Courcelles-le-Comte during the First World War.Rowling's sister Dianne was born at their home when Rowling was 23 months old. The family moved to the nearby village Winterbourne when Rowling was four. She attended St Michael's Primary School, a school founded by abolitionist William Wilberforce and education reformer Hannah More. Her headmaster at St Michael's, Alfred Dunn, has been suggested as the inspiration for the Harry Potter headmaster Albus Dumbledore.As a child, Rowling often wrote fantasy stories, which she would usually then read to her sister. She recalls that: ""I can still remember me telling her a story in which she fell down a rabbit hole and was fed strawberries by the rabbit family inside it. Certainly the first story I ever wrote down (when I was five or six) was about a rabbit called Rabbit. He got the measles and was visited by his friends, including a giant bee called Miss Bee."" At the age of nine, Rowling moved to Church Cottage in the Gloucestershire village of Tutshill, close to Chepstow, Wales. When she was a young teenager, her great aunt, who Rowling said ""taught classics and approved of a thirst for knowledge, even of a questionable kind,"" gave her a very old copy of Jessica Mitford's autobiography, Hons and Rebels. Mitford became Rowling's heroine, and Rowling subsequently read all of her books.Rowling has said of her teenage years, in an interview with The New Yorker, ""I wasn’t particularly happy. I think it’s a dreadful time of life."" She had a difficult homelife; her mother was ill and she had a difficult relationship with her father (she is no longer on speaking terms with him). She attended secondary school at Wyedean School and College, where her mother had worked as a technician in the science department. Rowling said of her adolescence, ""Hermione [a bookish, know-it-all Harry Potter character] is loosely based on me. She's a caricature of me when I was eleven, which I'm not particularly proud of."" Steve Eddy, who taught Rowling English when she first arrived, remembers her as ""not exceptional"" but ""one of a group of girls who were bright, and quite good at English."" Sean Harris, her best friend in the Upper Sixth owned a turquoise Ford Anglia, which she says inspired the one in her books."
2,Mary,GrandPré,"Mary GrandPré is an American illustrator best known for her cover and chapter illustrations of the Harry Potter books in their U.S. editions published by Scholastic. She received a Caldecott Honor in 2015 for illustrating  Barb Rosenstock's The Noisy Paint Box: The Colors and Sounds of Kandinsky's Abstract Art. GrandPré, who creates her artwork with paint and pastels, has illustrated more than twenty books and has appeared in gallery exhibitions and periodicals such as The New Yorker, Atlantic Monthly, and The Wall Street Journal."
3,W.,Frederick Zimmerman,"I have worked at the intersection of computers and publishing for most of my adult life, beginning with a stint as Staff Writer for Sextant, the magazine for Heathkit personal computers, and most recently in product development for  LexisNexis, a unit of the professional publishing giant Reed Elsevier plc.I founded  Nimble Books LLC so that I could give myself the ""green light"" to launch new and interesting publishing projects.Nimble Books publishes timely, relevant ""living books"" on a wide variety of subjects ranging from Harry Potter and  Dan Brown to health, science, politics, and sports.I live in Ann Arbor, Michigan, USA with my beloved wife Cheryl and treasured children Kelsey and Parker."
4,Douglas,Adams,"Librarian Note: There is more than one author in the Goodreads database with this name.Douglas Noel Adams was an English author, humourist, and screenwriter, best known for The Hitchhiker's Guide to the Galaxy (HHGTTG). Originally a 1978 BBC radio comedy, The Hitchhiker's Guide to the Galaxy developed into a ""trilogy"" of five books that sold more than 15 million copies in his lifetime. It was further developed into a television series, several stage plays, comics, a video game, and a 2005 feature film. Adams's contribution to UK radio is commemorated in The Radio Academy's Hall of Fame.Adams also wrote Dirk Gently's Holistic Detective Agency (1987) and The Long Dark Tea-Time of the Soul (1988), and co-wrote The Meaning of Liff (1983), The Deeper Meaning of Liff (1990) and Last Chance to See (1990). He wrote two stories for the television series Doctor Who, co-wrote City of Death (1979), and served as script editor for its seventeenth season. He co-wrote the sketch ""Patient Abuse"" for the final episode of Monty Python's Flying Circus. A posthumous collection of his selected works, including the first publication of his final (unfinished) novel, was published as The Salmon of Doubt in 2002.Adams was a self-proclaimed ""radical atheist"", an advocate for environmentalism and conservation, and a lover of fast cars, technological innovation, and the Apple Macintosh."
5,Jamie,Flinchbaugh,"As Founder of JFlinch, Jamie Flinchbaugh has helped purpose-driven leaders craft effective, resilient organizations at over 300 companies. Leveraging more than 30-years of experience and helping build over 20 companies, Jamie collaborates with leaders and their teams to bridge capability, strategic, cultural, and systems gaps so that they can safely span potential pitfalls and have a purposeful impact on their organizations.Jamie has helped leaders across a wide spectrum of industries including healthcare, utilities, technology, consumer products, and professional services, including Harley-Davidson, Intel, Mars, Amazon, Crayola, Fidelity, Whirlpool, among many others.Jamie is the author of People Solve Problems, The Power of Every Person, Every Day, Every Problem and co-author of The Hitchhiker’s Guide to Lean, Lessons from the Road and is the host of the podcast, People Solve Problems and the co-host of the Lean Whiskey podcast. He currently lives in Bucks County, PA with his wife, Jill Triani. Together they have three children, Emma, Jack, and Ben."
6,Andy,Carlino,
7,Dennis,Pawley,
8,Stephen,Fry,"Stephen John Fry is an English comedian, writer, actor, humourist, novelist, poet, columnist, filmmaker, television personality and technophile. As one half of the Fry and Laurie double act with his comedy partner, Hugh Laurie, he has appeared in A Bit of Fry and Laurie and Jeeves and Wooster. He is also famous for his roles in Blackadder and Wilde, and as the host of QI. In addition to writing for stage, screen, television and radio he has contributed columns and articles for numerous newspapers and magazines, and has also written four successful novels and a series of memoirs.See also 
Mrs. Stephen Fry
 as a pseudonym of the author."
9,Bill,Bryson,"Bill Bryson is a bestselling American-British author known for his witty and accessible nonfiction books spanning travel, science, and language. He rose to prominence with Notes from a Small Island (1995), an affectionate portrait of Britain, and solidified his global reputation with A Short History of Nearly Everything (2003), a popular science book that won the Aventis and Descartes Prizes. Raised in Iowa, Bryson lived most of his adult life in the UK, working as a journalist before turning to writing full-time. His other notable works include A Walk in the Woods, The Life and Times of the Thunderbolt Kid, and The Mother Tongue. Bryson served as Chancellor of Durham University (2005–2011) and received numerous honorary degrees and awards, including an honorary OBE and election as an Honorary Fellow of the Royal Society. Though he announced his retirement from writing in 2020, he remains one of the most beloved voices in contemporary nonfiction, with over 16 million books sold worldwide."
10,J.R.R.,Tolkien,"John Ronald Reuel Tolkien: writer, artist, scholar, linguist. Known to millions around the world as the author of The Lord of the Rings, Tolkien spent most of his life teaching at the University of Oxford where he was a distinguished academic in the fields of Old and Middle English and Old Norse. His creativity, confined to his spare time, found its outlet in fantasy works, stories for children, poetry, illustration and invented languages and alphabets.Tolkien’s most popular works, The Hobbit and The Lord of the Rings are set in Middle-earth, an imagined world with strangely familiar settings inhabited by ancient and extraordinary peoples. Through this secondary world Tolkien writes perceptively of universal human concerns – love and loss, courage and betrayal, humility and pride – giving his books a wide and enduring appeal.Tolkien was an accomplished amateur artist who painted for pleasure and relaxation. He excelled at landscapes and often drew inspiration from his own stories. He illustrated many scenes from The Silmarillion, The Hobbit and The Lord of the Rings, sometimes drawing or painting as he was writing in order to visualize the imagined scene more clearly.Tolkien was a professor at the Universities of Leeds and Oxford for almost forty years, teaching Old and Middle English, as well as Old Norse and Gothic. His illuminating lectures on works such as the Old English epic poem, Beowulf, illustrate his deep knowledge of ancient languages and at the same time provide new insights into peoples and legends from a remote past.Tolkien was born in Bloemfontein, South Africa, in 1892 to English parents. He came to England aged three and was brought up in and around Birmingham. He graduated from the University of Oxford in 1915 and saw active service in France during the First World War before being invalided home. After the war he pursued an academic career teaching Old and Middle English. Alongside his professional work, he invented his own languages and began to create what he called a mythology for England; it was this ‘legendarium’ that he would work on throughout his life. But his literary work did not start and end with Middle-earth, he also wrote poetry, children’s stories and fairy tales for adults. He died in 1973 and is buried in Oxford where he spent most of his adult life."
