,Genre,Description
1,14th Century,"As a means of recording the passage of time, the 14th century was the century which lasted from January 1, 1301, to December 31, 1400. In Europe, Asia, and North Africa, the Black Death claimed between 75 to 200 million lives. England and France fought in the protracted Hundred Years' War. Political and natural disaster ravaged the Mongolian Empire, which lost much of its power in Asia and Eastern Europe.As a means of recording the passage of time, the 14th century was the century which lasted from January 1, 1301, to December 31, 1400. In Europe, Asia, and North Africa, the Black Death claimed between 75 to 200 million lives. England and France fought in the protracted Hundred Years' War. Political and natural disaster ravaged the Mongolian Empire, which lost much of its power in Asia and Eastern Europe....more"
2,17th Century,"The 17th century was the century that lasted from January 1, 1601, to December 31, 1700, in the Gregorian calendar. The 17th century falls into the Early Modern period of Europe and in that continent was characterized by the Dutch Golden Age, the Baroque cultural movement, the French Grand Siècle dominated by Louis XIV, the Scientific Revolution, and The General Crisis. "
3,19th Century,"Novels or collections of stories set during the 19th century. The 19th century (January 1, 1801 – December 31, 1900) was the century marked by the collapse of the Spanish, First and Second French, Chinese, Holy Roman and Mughal empires. This paved the way for the growing influence of the British Empire, the Russian Empire, the United States, the German Empire, the Second French Colonial Empire and the Empire of Japan, with the British boasting unchallenged dominance after 1815."
4,20th Century,"The 20th century was the period between January 1, 1901 and December 31, 2000 inclusive. It was the tenth and last century of the 2nd millennium. It is distinct from the century known as the 1900s (sometimes written 19XX), which began on January 1, 1900 and ended December 31, 1999.The century had the first global-scale wars between world powers across continents in World War I and World War II. Nationalism became a major political issue in the world in the 20th century, acknowledged in international law along with the right of nations to self-determination, official decolonization in the mid-cThe 20th century was the period between January 1, 1901 and December 31, 2000 inclusive. It was the tenth and last century of the 2nd millennium. It is distinct from the century known as the 1900s (sometimes written 19XX), which began on January 1, 1900 and ended December 31, 1999.The century had the first global-scale wars between world powers across continents in World War I and World War II. Nationalism became a major political issue in the world in the 20th century, acknowledged in international law along with the right of nations to self-determination, official decolonization in the mid-century, and nationalist-influenced armed conflicts – including two World Wars....more"
5,2nd Grade,Books appropriate for 2nd grade reading level.
6,Academia,See AcademicSee Academic...more
7,Academics,See  AcademicSee  Academic...more
8,Action,"The action genre is characterized by more emphasis on exciting action sequences than on character development or story-telling. That is not to say that the action-adventure story does not have memorable characters or circumstances, however. Generally heroes are seen as larger than life, and many times they are prime examples of the epic hero archetype.Action can also be known as Action-Adventure depending on criteria met. This applies to all age groups, especially popular in Middle Grade adventure stories and adult fiction with spy or adventure leads. Also see Adventure.The action genre is characterized by more emphasis on exciting action sequences than on character development or story-telling. That is not to say that the action-adventure story does not have memorable characters or circumstances, however. Generally heroes are seen as larger than life, and many times they are prime examples of the epic hero archetype.Action can also be known as Action-Adventure depending on criteria met. This applies to all age groups, especially popular in Middle Grade adventure stories and adult fiction with spy or adventure leads. Also see Adventure....more"
9,Adoption,"Adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents, and, in so doing, permanently transfers all rights and responsibilities, along with filiation, from the biological parent or parents. Unlike guardianship or other systems designed for the care of the young, adoption is intended to effect a permanent change in status and as such requires societal recognition, either through legal or religious sanction.Adoption is a process whereby a person assumes the parenting of another, usually a child, from that person's biological or legal parent or parents, and, in so doing, permanently transfers all rights and responsibilities, along with filiation, from the biological parent or parents. Unlike guardianship or other systems designed for the care of the young, adoption is intended to effect a permanent change in status and as such requires societal recognition, either through legal or religious sanction....more"
10,Adult,For adults. May sometimes contain themes considered unsuitable for children or teens.
11,Adult Fiction,"Adult fiction, by contrast with childrens or young adult, is fiction intended for (and usually about) adults.Adult fiction, by contrast with childrens or young adult, is fiction intended for (and usually about) adults....more"
12,Adventure,"Adventure fiction is a genre of fiction in which an adventure, an exciting undertaking involving risk and physical danger, forms the main storyline. Adventure novels and short stories were popular subjects for American pulp magazines, which dominated American popular fiction between the Progressive Era and the 1950s. Adventure fiction often overlaps with other genres, notably war novels, crime novels, sea stories, Robinsonades, spy stories (as in the works of John Buchan, Eric Ambler and Ian Fleming), science fiction, fantasy, (Robert E. Howard and J.R.R. Tolkien both combined the secondary woAdventure fiction is a genre of fiction in which an adventure, an exciting undertaking involving risk and physical danger, forms the main storyline. Adventure novels and short stories were popular subjects for American pulp magazines, which dominated American popular fiction between the Progressive Era and the 1950s. Adventure fiction often overlaps with other genres, notably war novels, crime novels, sea stories, Robinsonades, spy stories (as in the works of John Buchan, Eric Ambler and Ian Fleming), science fiction, fantasy, (Robert E. Howard and J.R.R. Tolkien both combined the secondary world story with the adventure novel)[6] and Westerns. Not all books within these genres are adventures. Adventure fiction takes the setting and premise of these other genres, but the fast-paced plot of an adventure focuses on the actions of the hero within the setting.See also Pulp Adventure and Action....more"
13,Africa,"Africa is the main subject for setting, topic or more."
14,African American,See also African-American Literature.See also African-American Literature....more
15,African Literature,"African literature refers to literature of and from Africa. As George Joseph notes on the first page of his chapter on African literature in Understanding Contemporary Africa, while the European perception of literature generally refers to written letters, the African concept includes oral literature.As George Joseph continues, while European views of literature often stressed a separation of art and content, African awareness is inclusive:""Literature"" can also imply an artistic use of words for the sake of art alone. ... traditionally, Africans do not radically separate art from teaching. RatAfrican literature refers to literature of and from Africa. As George Joseph notes on the first page of his chapter on African literature in Understanding Contemporary Africa, while the European perception of literature generally refers to written letters, the African concept includes oral literature.As George Joseph continues, while European views of literature often stressed a separation of art and content, African awareness is inclusive:""Literature"" can also imply an artistic use of words for the sake of art alone. ... traditionally, Africans do not radically separate art from teaching. Rather than write or sing for beauty in itself, African writers, taking their cue from oral literature, use beauty to help communicate important truths and information to society. Indeed, an object is considered beautiful because of the truths it reveals and the communities it helps to build....more"
16,Alternate History,"Alternate history is a subgenre of speculative fiction (or science fiction) and historical fiction that is set in a world in which history has diverged from the actual history of the world. Alternate history literature asks the question, ""What if history had developed differently?"" Most works in this genre are based on real historical events, yet feature social, geopolitical, or industrial circumstances that developed differently than our own.Alternate history is a subgenre of speculative fiction (or science fiction) and historical fiction that is set in a world in which history has diverged from the actual history of the world. Alternate history literature asks the question, ""What if history had developed differently?"" Most works in this genre are based on real historical events, yet feature social, geopolitical, or industrial circumstances that developed differently than our own....more"
17,Alternative Medicine,"Alternative medicine is any practice that is put forward as having the ability to heal or treat without the use of ""Modern medicine"". Many alternative medicine treatments have been verified with science, and others have not, but are based on history of use and other branches of healing. This includes Holistic Healing, Naturopathy, Homeopathy, Chiropractic medicine, Accupuncture, Traditional Chinese Medicine, Ayurvedic medicine, Sekkotsu,Herbalism.  Alternative medicine is any practice that is put forward as having the ability to heal or treat without the use of ""Modern medicine"". Many alternative medicine treatments have been verified with science, and others have not, but are based on history of use and other branches of healing. This includes Holistic Healing, Naturopathy, Homeopathy, Chiropractic medicine, Accupuncture, Traditional Chinese Medicine, Ayurvedic medicine, Sekkotsu,Herbalism.  ...more"
18,Amazon,"Books about the company Amazon.Also, books tagged in this genre may be books members have purchased from Amazon or have an association with it.Books in this genre label may be associated with the Amazon River."
19,American,"This genre tag marks books that are placed in America, American classics, written by American authors, or about America.The United States of America (USA), commonly referred to as the United States (U.S.) or America, is a federal republic composed of 50 states, a federal district, five major territories and various possessions."
20,American History,"A study of the history of America.The date of the start of the history of the United States is a subject of debate among historians. Older textbooks start with the arrival of Christopher Columbus in 1492 and emphasize the European background, or they start around 1600 and emphasize the American frontier. In recent decades American schools and universities typically have shifted back in time to include more on the colonial period and much more on the prehistory of the Native peoples."
21,American Revolution,NULL
22,Americana,"Americana refers to artifacts, or a collection of artifacts, related to the history, geography, folklore and cultural heritage of the United States."
23,Ancient,"The term classical antiquity is often used to refer to history in the Old World from the beginning of recorded Greek history in 776 BC (First Olympiad). This roughly coincides with the traditional date of the founding of Rome in 753 BC, the beginning of the history of ancient Rome, and the beginning of the Archaic period in Ancient Greece. Although the ending date of ancient history is disputed, some Western scholars use the fall of the Western Roman Empire in 476 AD (the most used), the closure of the Platonic Academy in 529 AD, the death of the emperor Justinian I in 565 AD, the coming of IsThe term classical antiquity is often used to refer to history in the Old World from the beginning of recorded Greek history in 776 BC (First Olympiad). This roughly coincides with the traditional date of the founding of Rome in 753 BC, the beginning of the history of ancient Rome, and the beginning of the Archaic period in Ancient Greece. Although the ending date of ancient history is disputed, some Western scholars use the fall of the Western Roman Empire in 476 AD (the most used), the closure of the Platonic Academy in 529 AD, the death of the emperor Justinian I in 565 AD, the coming of Islam or the rise of Charlemagne as the end of ancient and Classical European history....more"
24,Ancient History,"Ancient history is the aggregate of past events from the beginning of recorded human history and extending as far as the Early Middle Ages or the Post-classical Era. The span of recorded history is roughly 5,000 years, beginning with Sumerian Cuneiform script, the oldest discovered form of coherent writing from the proto-literate period around the 30th century BC.The term classical antiquity is often used to refer to history in the Old World from the beginning of recorded Greek history in 776 BC (First Olympiad). This roughly coincides with the traditional date of the founding of Rome in 753 BAncient history is the aggregate of past events from the beginning of recorded human history and extending as far as the Early Middle Ages or the Post-classical Era. The span of recorded history is roughly 5,000 years, beginning with Sumerian Cuneiform script, the oldest discovered form of coherent writing from the proto-literate period around the 30th century BC.The term classical antiquity is often used to refer to history in the Old World from the beginning of recorded Greek history in 776 BC (First Olympiad). This roughly coincides with the traditional date of the founding of Rome in 753 BC, the beginning of the history of ancient Rome, and the beginning of the Archaic period in Ancient Greece. Although the ending date of ancient history is disputed, some Western scholars use the fall of the Western Roman Empire in 476 AD (the most used), the closure of the Platonic Academy in 529 AD, the death of the emperor Justinian I in 565 AD, the coming of Islam or the rise of Charlemagne as the end of ancient and Classical European history.In India, ancient history includes the early period of the Middle Kingdoms, and, in China, the time up to the Qin Dynasty....more"
25,Animals,"Animals are multicellular, eukaryotic organisms of the kingdom Animalia (also called Metazoa). All animals are motile, meaning they can move spontaneously and independently, at some point in their lives. Their body plan eventually becomes fixed as they develop, although some undergo a process of metamorphosis later on in their lives. All animals are heterotrophs: they must ingest other organisms or their products for sustenance."
26,Anthologies,"Anthologies are collections of smaller works which may be short stories, essays, or poems.Anthologies may be a blend of different authors following a central theme or genre, or else a book of short stories compiled by the same author.Anthologies are not a genre, but a type of story collection.Anthologies are collections of smaller works which may be short stories, essays, or poems.Anthologies may be a blend of different authors following a central theme or genre, or else a book of short stories compiled by the same author.Anthologies are not a genre, but a type of story collection....more"
27,Anthropology,"Anthropology ( /ænθrɵˈpɒlədʒi/) is the study of humanity. It has origins in the humanities, the natural sciences, and the social sciences. The term ""anthropology"" is from the Greek anthrōpos (ἄνθρωπος), ""human being"", and -logia (-λογία), ""discourse"" or ""study"", and was first used in 1501 by German philosopher Magnus Hundt.Anthropology's basic concerns are ""What defines Homo sapiens?"", ""Who are the ancestors of modern Homo sapiens?"", ""What are humans' physical traits?"", ""How do humans behave?"", ""Why are there variations and differences among different groups of humans?"", ""How has the evolutionAnthropology ( /ænθrɵˈpɒlədʒi/) is the study of humanity. It has origins in the humanities, the natural sciences, and the social sciences. The term ""anthropology"" is from the Greek anthrōpos (ἄνθρωπος), ""human being"", and -logia (-λογία), ""discourse"" or ""study"", and was first used in 1501 by German philosopher Magnus Hundt.Anthropology's basic concerns are ""What defines Homo sapiens?"", ""Who are the ancestors of modern Homo sapiens?"", ""What are humans' physical traits?"", ""How do humans behave?"", ""Why are there variations and differences among different groups of humans?"", ""How has the evolutionary past of Homo sapiens influenced its social organization and culture?"" and so forth.In the United States, contemporary anthropology is typically divided into four sub-fields: cultural anthropology also known as social anthropology, archaeology, linguistic anthropology, and physical (or biological) anthropology. The four-field approach to anthropology is reflected in many undergraduate textbooks as well as anthropology programs (e.g. Michigan, Berkeley, Penn). At universities in the United Kingdom, and much of Europe, these ""sub-fields"" are frequently housed in separate departments and are seen as distinct disciplines.The social and cultural sub-field has been heavily influenced by structuralist and post-modern theories, as well as a shift toward the analysis of modern societies (an arena more typically in the remit of sociologists). During the 1970s and 1990s there was an epistemological shift away from the positivist traditions that had largely informed the discipline.During this shift, enduring questions about the nature and production of knowledge came to occupy a central place in cultural and social anthropology. In contrast, archaeology, biological anthropology, and linguistic anthropology remained largely positivist. Due to this difference in epistemology, anthropology as a discipline has lacked cohesion over the last several decades. This has even led to departments diverging, for example in the 1998–9 academic year at Stanford University, where the ""scientists"" and ""non-scientists"" divided into two departments: anthropological sciences and cultural & social anthropology; these departments later reunified in the 2008–9 academic year....more"
28,Apocalyptic,"Apocalyptic is from the word apocalypse, referring to the end of the world.Apocalyptic fiction focuses on the end of civilization either through nuclear war, plague, or other global catastrophic risk.Apocalyptic literature is a genre of religious writing centered on visions of the end of time. Many apocalyptic stories focus on stories that are on the brink of the end of the world of the civilization. Post-apocalyptic fiction is set in a world or civilization after such a disaster. Also called 'Holocaust'Apocalyptic is from the word apocalypse, referring to the end of the world.Apocalyptic fiction focuses on the end of civilization either through nuclear war, plague, or other global catastrophic risk.Apocalyptic literature is a genre of religious writing centered on visions of the end of time. Many apocalyptic stories focus on stories that are on the brink of the end of the world of the civilization. Post-apocalyptic fiction is set in a world or civilization after such a disaster. Also called 'Holocaust'...more"
