,CartID,ProductID,Price
0,1793,1564,9.99
1,1793,380,30.99
2,1793,1844,9.99
3,1793,1241,14.99
4,4371,38,24.99
5,4371,1574,30.99
6,4371,292,9.99
7,4371,1533,19.99
8,4371,335,9.99
9,4371,1287,14.99
10,3261,1644,30.99
11,3261,303,19.99
12,3261,601,24.99
13,3261,1087,9.99
14,3261,44,30.99
15,8071,1919,19.99
16,8071,1817,30.99
17,8071,1041,24.99
18,8071,683,19.99
19,8071,167,14.99
20,8071,3,14.99
21,1217,1693,24.99
22,1217,791,30.99
23,1217,1196,19.99
24,1217,1436,19.99
25,6536,182,19.99
26,6536,503,30.99
27,6536,737,30.99
28,6536,1689,14.99
29,5893,704,9.99
30,5893,1741,24.99
31,5893,1897,14.99
32,5893,39,19.99
33,5893,1815,30.99
34,919,896,30.99
35,919,520,24.99
36,919,1502,9.99
37,919,549,14.99
38,919,1228,14.99
39,12496,1290,24.99
40,12496,1640,24.99
41,12496,43,19.99
42,12496,1202,14.99
43,12496,457,30.99
44,12496,293,14.99
45,12496,497,24.99
46,12496,890,14.99
47,11919,1323,14.99
48,11919,350,30.99
49,11919,829,24.99
50,11919,1250,24.99
51,11919,1027,14.99
52,11919,84,9.99
53,618,1250,24.99
54,7006,1405,30.99
55,7006,1486,24.99
56,7006,396,9.99
57,7006,817,14.99
58,7006,1107,24.99
59,7006,1765,24.99
60,7006,576,24.99
61,6683,1229,19.99
62,6683,1866,9.99
63,6683,1425,9.99
64,6683,1598,24.99
65,6683,1541,19.99
66,5351,732,14.99
67,5351,253,9.99
68,597,716,9.99
69,597,1449,19.99
70,597,38,24.99
71,597,1101,19.99
72,12483,1113,30.99
73,12483,1539,30.99
74,12483,1336,24.99
75,12483,492,14.99
76,12483,1438,14.99
77,12483,1664,19.99
78,12483,738,14.99
79,12483,1059,14.99
80,11277,668,24.99
81,11277,1011,14.99
82,11277,467,14.99
83,11277,1687,19.99
84,3892,1175,9.99
85,3892,150,30.99
86,3892,1314,14.99
87,518,501,30.99
88,518,1831,14.99
89,518,1538,30.99
90,518,1118,9.99
91,518,625,9.99
92,518,476,24.99
93,518,507,24.99
94,12187,213,14.99
95,12187,583,14.99
96,12187,543,24.99
97,12256,829,24.99
98,12256,1639,30.99
99,12256,1915,24.99
100,12256,169,9.99
101,12256,80,24.99
102,3041,243,14.99
103,3041,1860,9.99
104,3041,897,30.99
105,3041,550,9.99
106,6447,589,14.99
107,4946,540,9.99
108,4946,1130,30.99
109,4946,1413,24.99
110,4946,1704,14.99
111,4946,1313,30.99
112,4946,1100,9.99
113,4946,1462,9.99
114,1805,164,30.99
115,4565,1552,19.99
116,4565,1760,30.99
117,4565,668,24.99
118,4565,53,14.99
119,4565,775,9.99
120,4565,457,30.99
121,4565,390,14.99
122,4565,1713,24.99
123,5676,337,9.99
124,5676,869,19.99
125,1851,1132,14.99
126,1851,1381,19.99
127,7859,1013,14.99
128,7859,741,9.99
129,7859,191,19.99
130,7859,1372,24.99
131,7859,1923,14.99
132,7859,1024,30.99
133,7859,694,24.99
134,11738,122,19.99
135,11738,267,14.99
136,11738,905,30.99
137,11738,610,19.99
138,3461,808,19.99
139,3461,1490,14.99
140,3461,1799,14.99
141,3461,1038,19.99
142,8542,143,19.99
143,11046,1023,19.99
144,11046,1742,19.99
145,11046,624,9.99
146,2763,1333,14.99
147,2763,955,14.99
148,2763,1308,9.99
149,2763,930,24.99
150,2763,275,9.99
151,2763,24,19.99
152,2763,535,9.99
153,2763,47,19.99
154,1669,1155,9.99
155,1669,485,24.99
156,1669,921,14.99
157,1669,25,30.99
158,1669,1510,30.99
159,1669,318,30.99
160,1669,237,19.99
161,10721,1146,24.99
162,2363,947,14.99
163,2363,500,9.99
164,2363,1029,24.99
165,2363,1893,19.99
166,2363,49,19.99
167,2363,311,19.99
168,2363,951,14.99
169,4221,194,9.99
170,4221,1288,14.99
171,4221,1291,24.99
172,4221,466,9.99
173,4221,1179,14.99
174,4221,1672,30.99
175,4221,491,24.99
176,1885,324,24.99
177,1885,1318,30.99
178,1885,76,14.99
179,1885,1222,9.99
180,12113,1899,30.99
181,12113,1860,9.99
182,12113,240,24.99
183,12113,211,19.99
184,12113,1474,24.99
185,3808,1577,14.99
186,3808,612,9.99
187,8929,431,30.99
188,8929,1649,24.99
189,8929,672,19.99
190,8929,1586,14.99
191,8929,1273,30.99
192,8929,1742,19.99
193,1143,331,9.99
194,1143,283,30.99
195,1143,333,30.99
196,1143,1571,9.99
197,1143,809,19.99
198,6926,853,9.99
199,6926,307,9.99
200,6926,896,30.99
201,6926,338,19.99
202,10510,1918,14.99
203,10510,747,30.99
204,10510,1400,24.99
205,10510,563,19.99
206,5314,1705,24.99
207,5314,111,19.99
208,5314,1053,9.99
209,5314,1764,19.99
210,6998,1770,14.99
211,6998,417,30.99
212,6998,1672,30.99
213,6998,554,24.99
214,1671,27,9.99
215,1671,717,30.99
216,1671,777,24.99
217,1671,31,19.99
218,1671,1004,14.99
219,1671,499,9.99
220,1671,978,14.99
221,1749,354,30.99
222,1749,643,30.99
223,1749,171,14.99
224,1749,1469,9.99
225,1749,1386,24.99
226,1749,1549,24.99
227,1749,1128,19.99
228,891,206,24.99
229,891,612,9.99
230,891,1201,24.99
231,891,1699,14.99
232,2981,1030,19.99
233,2981,1635,19.99
234,2981,1514,19.99
235,2981,1196,19.99
236,2981,1253,9.99
237,1670,663,30.99
238,1670,1776,19.99
239,1670,1164,19.99
240,1670,7,9.99
241,1670,986,9.99
242,1670,1821,14.99
243,11625,1250,24.99
244,3180,1144,14.99
245,3180,785,9.99
246,3180,1487,9.99
247,3180,1802,19.99
248,3180,187,9.99
249,6201,1851,14.99
250,6201,904,9.99
251,6201,1556,9.99
252,6201,1869,9.99
253,6201,1183,30.99
254,6201,415,9.99
255,1109,935,9.99
256,1109,543,24.99
257,1109,1476,24.99
258,2074,956,24.99
259,2074,719,14.99
260,9458,420,30.99
261,9458,1189,19.99
262,9458,918,9.99
263,9458,799,24.99
264,9458,500,9.99
265,9458,1105,30.99
266,9458,255,19.99
267,1566,1799,14.99
268,1566,1770,14.99
269,1566,1284,9.99
270,8753,630,14.99
271,1956,866,30.99
272,9650,187,9.99
273,9650,1749,24.99
274,9650,86,24.99
275,11476,302,24.99
276,10186,312,14.99
277,10186,182,19.99
278,10186,1191,9.99
279,10186,303,19.99
280,5168,655,9.99
281,7127,1502,9.99
282,7127,1918,14.99
283,7127,1111,14.99
284,7127,3,14.99
285,7127,669,30.99
286,7127,1208,24.99
287,7127,1057,9.99
288,7127,902,9.99
289,4128,834,24.99
290,4128,1136,14.99
291,4128,1876,30.99
292,4128,1617,14.99
293,4128,243,14.99
294,3763,362,9.99
295,4959,1372,24.99
296,4959,126,9.99
297,4959,543,24.99
298,4959,1601,30.99
299,606,1614,24.99
300,606,97,24.99
301,606,1549,24.99
302,606,1929,30.99
303,606,438,19.99
304,606,739,30.99
305,606,541,30.99
306,606,203,30.99
307,5232,44,30.99
308,5232,539,14.99
309,5232,100,24.99
310,5232,1043,9.99
311,5232,1462,9.99
312,5232,1084,14.99
313,8218,1211,14.99
314,8218,1530,19.99
315,8218,1146,24.99
316,8218,820,30.99
317,7391,238,30.99
318,7391,1125,9.99
319,7391,1284,9.99
320,7391,1350,24.99
321,7391,525,30.99
322,6740,1078,24.99
323,6740,1422,30.99
324,6740,1162,9.99
325,6740,1166,9.99
326,6740,1735,30.99
327,6740,1202,14.99
328,4862,1123,30.99
329,4862,829,24.99
330,4862,985,14.99
331,4862,528,9.99
332,4862,1203,30.99
333,178,1165,30.99
334,178,1728,9.99
335,178,1090,19.99
336,178,1614,24.99
337,178,1266,24.99
338,178,1696,24.99
339,5425,593,24.99
340,5425,1157,9.99
341,5425,485,24.99
342,5425,51,24.99
343,5425,626,19.99
344,5425,598,24.99
345,5425,732,14.99
346,11214,166,24.99
347,11214,1001,30.99
348,11214,688,9.99
349,11214,911,14.99
350,11214,1405,30.99
351,5560,1282,19.99
352,5560,1134,14.99
353,5560,765,19.99
354,5560,1123,30.99
355,5560,1083,9.99
356,5560,1175,9.99
357,5560,334,24.99
358,5973,1387,24.99
359,5973,122,19.99
360,5973,1393,24.99
361,5973,253,9.99
362,5973,539,14.99
363,9144,1249,24.99
364,9144,79,14.99
365,9144,40,24.99
366,9144,24,19.99
367,9144,579,30.99
368,9144,351,14.99
369,2805,1382,14.99
370,2805,1598,24.99
371,2805,937,14.99
372,2805,269,19.99
373,2805,1578,14.99
374,2805,1468,19.99
375,2805,275,9.99
376,2805,247,24.99
377,7929,1267,14.99
378,7929,531,24.99
379,7929,850,9.99
380,7929,359,30.99
381,7929,602,19.99
382,7929,511,30.99
383,2756,471,30.99
384,4108,434,14.99
385,1278,1734,30.99
386,1278,568,9.99
387,1278,1125,9.99
388,350,136,14.99
389,350,1037,30.99
390,4771,470,30.99
391,4771,716,9.99
392,4771,1267,14.99
393,4771,1527,19.99
394,3843,1396,14.99
395,3843,1211,14.99
396,12608,807,19.99
397,12608,1793,24.99
398,10487,1393,24.99
399,10487,329,30.99
400,10487,230,14.99
401,10487,1696,24.99
402,10487,481,30.99
403,11997,258,19.99
404,11997,1891,30.99
405,11997,362,9.99
406,8212,745,30.99
407,8212,1866,9.99
408,8212,602,19.99
409,8212,1555,14.99
410,8212,1118,9.99
411,1967,1457,14.99
412,1967,1183,30.99
413,10909,1099,19.99
414,10909,483,19.99
