,WishlistID,ProductID,Price
0,7061,1258,24.99
1,7061,1869,9.99
2,7061,795,24.99
3,7061,511,30.99
4,7061,150,30.99
5,10148,1387,24.99
6,10148,209,9.99
7,10148,593,24.99
8,10148,1716,19.99
9,10148,953,14.99
10,10148,273,9.99
11,8770,629,30.99
12,8770,514,19.99
13,8770,691,9.99
14,3381,346,19.99
15,3381,1173,24.99
16,3381,1101,19.99
17,3381,714,9.99
18,3381,1202,14.99
19,10034,263,14.99
20,10034,1261,24.99
21,10034,383,14.99
22,10034,679,19.99
23,10034,513,14.99
24,4174,1611,19.99
25,4174,112,14.99
26,4174,218,9.99
27,4174,609,9.99
28,4174,1038,19.99
29,4174,264,9.99
30,4174,550,9.99
31,11657,729,14.99
32,11657,1758,14.99
33,11657,15,9.99
34,11657,1258,24.99
35,5115,57,30.99
36,5115,879,24.99
37,10797,229,24.99
38,10797,887,19.99
39,10797,776,14.99
40,4562,747,30.99
41,4562,255,19.99
42,4562,1773,14.99
43,4562,1632,19.99
44,4562,1308,9.99
45,4562,1594,14.99
46,4562,33,30.99
47,5078,498,9.99
48,5078,128,9.99
49,5078,690,24.99
50,5078,998,19.99
51,5078,584,19.99
52,5078,866,30.99
53,5078,424,24.99
54,5078,467,14.99
55,778,1245,24.99
56,778,1659,9.99
57,778,1251,24.99
58,778,847,19.99
59,778,238,30.99
60,778,1416,19.99
61,778,1266,24.99
62,9884,940,14.99
63,9884,311,19.99
64,9884,1899,30.99
65,9884,404,30.99
66,9884,856,19.99
67,9884,1556,9.99
68,9884,1719,24.99
69,12240,1489,9.99
70,12240,69,9.99
71,12240,1638,19.99
72,12240,377,30.99
73,12240,1524,19.99
74,12240,1172,24.99
75,2800,641,9.99
76,2800,958,14.99
77,2800,1782,19.99
78,2800,1595,9.99
79,7800,855,24.99
80,7800,857,24.99
81,7800,323,30.99
82,7800,1926,30.99
83,7800,1365,19.99
84,947,910,30.99
85,947,330,19.99
86,947,126,9.99
87,947,1193,19.99
88,11979,525,30.99
89,11979,1379,14.99
90,11979,1719,24.99
91,11979,709,30.99
92,11979,1449,19.99
93,11979,466,9.99
94,11979,522,9.99
95,11979,127,9.99
96,12278,1775,9.99
97,12278,1615,9.99
98,12278,1540,14.99
99,12278,1459,24.99
100,12278,290,14.99
101,12112,1907,14.99
102,12112,1645,19.99
103,5048,211,19.99
104,5048,1889,9.99
105,5048,1782,19.99
106,5048,660,30.99
107,6224,1208,24.99
108,6224,1645,19.99
109,6224,1515,19.99
110,6224,644,24.99
111,6224,1646,9.99
112,3894,821,9.99
113,3894,935,9.99
114,8227,226,9.99
115,8227,779,19.99
116,8227,1400,24.99
117,8227,991,24.99
118,11781,376,24.99
119,11781,278,30.99
120,11781,427,24.99
121,11781,743,30.99
122,11827,109,24.99
123,11827,262,30.99
124,11827,232,30.99
125,11827,1127,30.99
126,11827,1890,14.99
127,10310,740,19.99
128,10310,355,19.99
129,10310,39,19.99
130,10310,63,30.99
131,11191,1635,19.99
132,11191,1152,14.99
133,11191,904,9.99
134,10863,24,19.99
135,10863,950,19.99
136,10863,221,9.99
137,10863,1381,19.99
138,10863,1359,19.99
139,12532,1792,30.99
140,12532,619,9.99
141,12532,1117,14.99
142,4687,489,19.99
143,4687,473,14.99
144,4687,1319,24.99
145,628,1176,19.99
146,628,1799,14.99
147,6590,1163,19.99
148,6848,860,19.99
149,6848,1177,9.99
150,6848,1401,24.99
151,6848,436,19.99
152,6848,602,19.99
153,6848,82,30.99
154,6848,296,14.99
155,6848,840,24.99
156,1381,835,9.99
157,12221,824,24.99
158,12221,558,14.99
159,12221,1533,19.99
160,12221,1023,19.99
161,8964,795,24.99
162,12225,1347,9.99
163,12225,928,9.99
164,12543,1255,24.99
165,12543,1516,30.99
166,12543,1208,24.99
167,764,44,30.99
168,764,1511,24.99
169,764,62,19.99
170,764,1667,24.99
171,764,1153,24.99
172,764,1857,19.99
173,764,1740,14.99
174,6333,1460,9.99
175,6333,1376,30.99
176,6333,1030,19.99
177,6333,666,14.99
178,6333,1623,9.99
179,6333,998,19.99
180,6333,118,24.99
181,3973,955,14.99
182,3973,1233,30.99
183,3973,1882,14.99
184,3973,660,30.99
185,3973,704,9.99
186,3973,963,19.99
187,1076,1564,9.99
188,1076,96,19.99
189,1076,23,19.99
190,1076,1735,30.99
191,1076,1158,9.99
192,1076,190,24.99
193,1076,1878,24.99
194,4115,1915,24.99
195,1318,166,24.99
196,1318,457,30.99
197,1318,272,9.99
198,6040,1515,19.99
199,3926,1888,19.99
200,3926,498,9.99
201,3926,371,19.99
202,3926,1306,24.99
203,3926,1757,24.99
204,3926,701,24.99
205,3926,1451,9.99
206,3926,1645,19.99
207,12165,1418,9.99
208,12165,733,9.99
209,12165,797,30.99
210,12165,702,24.99
211,12165,1592,14.99
212,12165,1853,24.99
213,12165,1024,30.99
214,4159,874,30.99
215,4159,214,9.99
216,4159,129,9.99
217,4029,230,14.99
218,4029,814,30.99
219,4029,1071,30.99
220,4029,1748,24.99
221,4029,71,19.99
222,4029,1219,14.99
223,4029,1405,30.99
224,6796,915,19.99
225,6796,478,9.99
226,6796,1299,9.99
227,6796,1328,19.99
228,6796,297,14.99
229,6796,1931,30.99
230,6796,1514,19.99
231,6796,1304,14.99
232,11403,927,24.99
233,11403,273,9.99
234,11403,1757,24.99
235,11403,6,9.99
236,1229,1241,14.99
237,1229,418,30.99
238,1229,264,9.99
239,1229,27,9.99
240,1229,19,14.99
241,1229,1818,19.99
242,4761,1851,14.99
243,4761,74,19.99
244,4761,1511,24.99
245,4761,1100,9.99
246,4761,908,24.99
247,4761,1376,30.99
248,4761,437,14.99
249,4761,1203,30.99
250,3698,471,30.99
251,3698,1574,30.99
252,3698,1748,24.99
253,3698,1712,24.99
254,3698,1742,19.99
255,3698,1481,24.99
256,3698,1395,14.99
257,3698,610,19.99
258,11139,925,19.99
259,11139,930,24.99
260,4848,1792,30.99
261,4848,1341,24.99
262,4848,1442,19.99
263,12019,254,9.99
264,12019,1128,19.99
265,12019,1305,24.99
266,12019,628,14.99
267,8857,1786,24.99
268,8857,1929,30.99
269,8857,1179,14.99
270,8857,1451,9.99
271,8857,8,9.99
272,3917,714,9.99
273,3917,962,24.99
274,3917,644,24.99
275,3917,1555,14.99
276,6437,813,9.99
277,6437,943,14.99
278,6437,1784,14.99
279,9742,143,19.99
280,1927,1791,14.99
281,1927,993,14.99
282,1927,1804,9.99
283,1927,755,30.99
284,1927,974,19.99
285,1927,1389,14.99
286,11361,30,24.99
287,11361,43,19.99
288,9274,1229,19.99
289,9274,1425,9.99
290,9274,1522,24.99
291,10197,1707,14.99
292,10197,558,14.99
293,10197,1343,30.99
294,4805,1377,19.99
295,4805,730,19.99
296,4805,879,24.99
297,4805,131,30.99
298,4805,985,14.99
299,4805,789,19.99
300,4805,745,30.99
301,3363,620,24.99
302,3363,929,9.99
303,3363,41,30.99
304,3363,1344,24.99
305,3363,1315,24.99
306,3363,437,14.99
307,3363,295,9.99
308,6905,1302,24.99
309,2035,1469,9.99
310,2035,1214,24.99
311,4418,1140,30.99
312,4418,1069,14.99
313,4418,1545,19.99
314,4418,265,19.99
315,4418,1867,19.99
316,4418,1395,14.99
317,4418,326,19.99
318,2163,1595,9.99
319,2163,637,24.99
320,2163,646,24.99
321,6715,1114,24.99
322,6715,156,30.99
323,6715,809,19.99
324,6715,868,19.99
325,6715,1030,19.99
326,6715,1326,24.99
327,6715,197,9.99
328,5911,92,14.99
329,5911,378,19.99
330,5911,819,30.99
331,5911,1174,24.99
332,5911,196,30.99
333,5911,573,24.99
334,5911,958,14.99
335,12409,893,14.99
336,12409,611,19.99
337,12409,1161,30.99
338,12409,1155,9.99
339,12409,870,14.99
340,9321,830,9.99
341,9321,1186,30.99
342,9321,122,19.99
343,11778,456,24.99
344,11778,1782,19.99
345,11778,6,9.99
346,11778,1770,14.99
347,11778,1218,19.99
348,11778,9,14.99
349,11778,656,19.99
350,11778,232,30.99
351,806,1033,9.99
352,806,246,9.99
353,806,1293,30.99
354,806,1246,19.99
355,806,1370,24.99
356,806,849,24.99
357,806,538,9.99
358,7433,402,19.99
359,7433,981,24.99
360,7433,1458,30.99
361,7795,1752,24.99
362,7795,1292,14.99
363,7795,400,19.99
364,7795,1108,14.99
365,11514,417,30.99
366,11514,429,9.99
